Date,GSPC,IXIC,DJI,RUT,GDAXI,FTSE,FCHI,HSI,N225,BSESN,BVSP
2024-10-16,5842.47021484375,18367.080078125,43077.69921875,2286.679931640625,19432.810546875,8329.099609375,7492.0,20286.849609375,39180.30078125,81501.359375,131750.0
2024-10-17,5841.47021484375,18373.609375,43239.05078125,2280.85009765625,19583.390625,8385.099609375,7583.72998046875,20079.099609375,38911.19140625,81006.609375,130793.0
2024-10-18,5864.669921875,18489.55078125,43275.91015625,2276.090087890625,19657.369140625,8358.2998046875,7613.0498046875,20804.109375,38981.75,81224.75,130499.0
2024-10-21,5853.97998046875,18540.009765625,42931.6015625,2239.7099609375,19461.189453125,8318.2001953125,7536.22998046875,20478.4609375,38954.6015625,81151.2734375,130362.0
2024-10-22,5851.2001953125,18579.76953125,42924.890625,2231.530029296875,19421.91015625,8306.5,7535.10009765625,20498.94921875,38411.9609375,80220.71875,129721.0
2024-10-23,5797.419921875,18276.650390625,42514.94921875,2213.840087890625,19377.619140625,8258.599609375,7497.47998046875,20760.150390625,38104.859375,80081.9765625,129233.0
2024-10-24,5809.85986328125,18415.490234375,42374.359375,2218.919921875,19443.0,8269.400390625,7503.27978515625,20489.619140625,38143.2890625,80065.15625,130067.0
2024-10-25,5808.1201171875,18518.609375,42114.3984375,2207.989990234375,19463.58984375,8248.7998046875,7497.5400390625,20590.150390625,37913.921875,79402.2890625,129893.0
2024-10-28,5823.52001953125,18567.189453125,42387.5703125,2244.070068359375,19531.619140625,8285.599609375,7556.93994140625,20599.359375,38605.53125,80005.0390625,131213.0
2024-10-29,5832.919921875,18712.75,42233.05078125,2238.090087890625,19478.0703125,8219.599609375,7511.10986328125,20701.140625,38903.6796875,80369.03125,130730.0
2024-10-30,5813.669921875,18607.9296875,42141.5390625,2233.0400390625,19257.33984375,8159.60009765625,7428.35986328125,20380.640625,39277.390625,79942.1796875,130639.0
2024-10-31,5705.4501953125,18095.150390625,41763.4609375,2196.64990234375,19077.5390625,8110.10009765625,7350.3701171875,20317.330078125,39081.25,79389.0625,129713.0
2024-11-01,5728.7998046875,18239.919921875,42052.19140625,2210.1298828125,19254.970703125,8177.2001953125,7409.10986328125,20506.4296875,38053.671875,79724.1171875,128121.0
2024-11-04,5712.68994140625,18179.98046875,41794.6015625,2219.030029296875,19147.849609375,8184.2001953125,7371.7099609375,20567.51953125,38053.671875,78782.2421875,130515.0
2024-11-05,5782.759765625,18439.169921875,42221.87890625,2260.840087890625,19256.26953125,8172.39990234375,7407.14990234375,21006.970703125,38474.8984375,79476.6328125,130661.0
2024-11-06,5929.0400390625,18983.470703125,43729.9296875,2392.919921875,19039.310546875,8166.7001953125,7369.60986328125,20538.380859375,39480.671875,80378.1328125,130341.0
2024-11-07,5973.10009765625,19269.4609375,43729.33984375,2382.68994140625,19362.51953125,8140.7001953125,7425.60009765625,20953.33984375,39381.41015625,79541.7890625,129682.0
2024-11-08,5995.5400390625,19286.779296875,43988.98828125,2399.639892578125,19215.48046875,8072.39990234375,7338.669921875,20728.189453125,39500.37109375,79486.3203125,127830.0
2024-11-11,6001.35009765625,19298.759765625,44293.12890625,2434.97998046875,19448.599609375,8125.2001953125,7426.8798828125,20426.9296875,39533.3203125,79496.1484375,127874.0
2024-11-12,5983.990234375,19281.400390625,43910.98046875,2391.85009765625,19033.640625,8025.7998046875,7226.97998046875,19846.880859375,39376.08984375,78675.1796875,127698.0
2024-11-13,5985.3798828125,19230.720703125,43958.19140625,2369.3701171875,19003.109375,8030.2998046875,7216.830078125,19823.44921875,38721.66015625,77690.953125,127734.0
2024-11-14,5949.169921875,19107.650390625,43750.859375,2336.93994140625,19263.69921875,8071.2001953125,7311.7998046875,19435.810546875,38535.69921875,77580.3125,127792.0
2024-11-15,5870.6201171875,18680.119140625,43444.98828125,2303.840087890625,19210.810546875,8063.60009765625,7269.6298828125,19426.33984375,38642.91015625,77580.3125,127792.0
2024-11-18,5893.6201171875,18791.810546875,43389.6015625,2306.340087890625,19189.189453125,8109.2998046875,7278.22998046875,19576.609375,38220.8515625,77339.0078125,127768.0
2024-11-19,5916.97998046875,18987.470703125,43268.94140625,2324.830078125,19060.310546875,8099.0,7229.64013671875,19663.669921875,38414.4296875,77578.3828125,128197.0
2024-11-20,5917.10986328125,18966.140625,43408.46875,2325.530029296875,19004.779296875,8085.10009765625,7198.4501953125,19705.009765625,38352.33984375,77578.3828125,128197.0
2024-11-21,5948.7099609375,18972.419921875,43870.3515625,2364.02001953125,19146.169921875,8149.2998046875,7213.31982421875,19601.109375,38026.171875,77155.7890625,126922.0
2024-11-22,5969.33984375,19003.650390625,44296.51171875,2406.669921875,19322.58984375,8262.099609375,7255.009765625,19229.970703125,38283.8515625,79117.109375,129126.0
2024-11-25,5987.3701171875,19054.83984375,44736.5703125,2442.030029296875,19405.19921875,8291.7001953125,7257.47021484375,19150.990234375,38780.140625,80109.8515625,129036.0
2024-11-26,6021.6298828125,19174.30078125,44860.30859375,2424.31005859375,19295.98046875,8258.599609375,7194.509765625,19159.19921875,38442.0,80004.0625,129922.0
2024-11-27,5998.740234375,19060.48046875,44722.05859375,2426.18994140625,19261.75,8274.7998046875,7143.02978515625,19603.130859375,38134.96875,80234.078125,127669.0
2024-11-28,5998.740234375,19060.48046875,44722.05859375,2426.18994140625,19425.73046875,8281.2001953125,7179.25,19366.9609375,38349.05859375,79043.7421875,124610.0
2024-11-29,6032.3798828125,19218.169921875,44910.6484375,2434.72998046875,19626.44921875,8287.2998046875,7235.10986328125,19423.609375,38208.03125,79802.7890625,125668.0
2024-12-02,6047.14990234375,19403.94921875,44782.0,2434.139892578125,19933.619140625,8312.900390625,7236.89013671875,19550.2890625,38513.01953125,80248.078125,125236.0
2024-12-03,6049.8798828125,19480.91015625,44705.53125,2416.35009765625,20016.75,8359.400390625,7255.419921875,19746.3203125,39248.859375,80845.75,126139.0
2024-12-04,6086.490234375,19735.119140625,45014.0390625,2426.56005859375,20232.140625,8335.7998046875,7303.27978515625,19742.4609375,39276.390625,80956.328125,126087.0
2024-12-05,6075.10986328125,19700.259765625,44765.7109375,2396.169921875,20358.80078125,8349.400390625,7330.5400390625,19560.439453125,39395.6015625,81765.859375,127858.0
2024-12-06,6090.27001953125,19859.76953125,44642.51953125,2408.989990234375,20384.609375,8308.599609375,7426.8798828125,19865.849609375,39091.171875,81709.1171875,125946.0
2024-12-09,6052.85009765625,19736.689453125,44401.9296875,2392.840087890625,20345.9609375,8352.099609375,7480.14013671875,20414.08984375,39160.5,81508.4609375,127210.0
2024-12-10,6034.91015625,19687.240234375,44247.828125,2382.77001953125,20329.16015625,8280.400390625,7394.77978515625,20311.279296875,39367.578125,81510.046875,128228.0
2024-12-11,6084.18994140625,20034.890625,44148.55859375,2394.159912109375,20399.16015625,8301.599609375,7423.39990234375,20155.05078125,39372.23046875,81526.140625,129593.0
2024-12-12,6051.25,19902.83984375,43914.12109375,2361.080078125,20426.26953125,8311.7998046875,7420.93994140625,20397.05078125,39849.140625,81289.9609375,126042.0
2024-12-13,6051.08984375,19926.720703125,43828.05859375,2346.89990234375,20405.919921875,8300.2998046875,7409.56982421875,19971.240234375,39470.44140625,82133.1171875,124612.0
2024-12-16,6074.080078125,20173.890625,43717.48046875,2361.989990234375,20313.810546875,8262.099609375,7357.080078125,19795.490234375,39457.48828125,81748.5703125,123560.0
2024-12-17,6050.60986328125,20109.060546875,43449.8984375,2334.080078125,20246.369140625,8195.2001953125,7365.7001953125,19700.48046875,39364.6796875,80684.453125,124698.0
2024-12-18,5872.16015625,19392.689453125,42326.87109375,2231.510009765625,20242.5703125,8199.099609375,7384.6201171875,19864.55078125,39081.7109375,80182.203125,120772.0
2024-12-19,5867.080078125,19372.76953125,42342.23828125,2221.5,19969.859375,8105.2998046875,7294.3701171875,19752.509765625,38813.578125,79218.046875,121188.0
2024-12-20,5930.85009765625,19572.599609375,42840.26171875,2242.3701171875,19884.75,8084.60009765625,7274.47998046875,19720.69921875,38701.8984375,78041.59375,122102.0
2024-12-23,5974.06982421875,19764.880859375,42906.94921875,2237.43994140625,19848.76953125,8102.7001953125,7272.31982421875,19883.130859375,39161.33984375,78540.171875,120767.0
2024-12-24,6040.0400390625,20031.130859375,43297.03125,2259.85009765625,19848.76953125,8137.0,7282.68994140625,20098.2890625,39036.8515625,78472.8671875,120767.0
2024-12-25,6040.0400390625,20031.130859375,43297.03125,2259.85009765625,19848.76953125,8137.0,7282.68994140625,20098.2890625,39130.4296875,78472.8671875,120767.0
2024-12-26,6037.58984375,20020.359375,43325.80078125,2280.18994140625,19848.76953125,8137.0,7282.68994140625,20098.2890625,39568.05859375,78472.4765625,121078.0
2024-12-27,5970.83984375,19722.029296875,42992.2109375,2244.590087890625,19984.3203125,8149.7998046875,7355.3701171875,20090.4609375,40281.16015625,78699.0703125,120269.0
